15.36,29.10,Thank you.,blank,WER_sentence,CER_sentence
249.99,257.19,right now I also have some short term plans for myself on which I am yes,"Right now uh i also have some short term plans for myself, uh on which I am yes.",0.2222222222222222,0.1
268.68,280.89,"Yes, yes, definitely. I also believe that to complete future plans,","Yes, yes definitely and I also believe uh the uh to complete future plans. Ahh",0.5333333333333333,0.21794871794871795
281.01,294.63,I think thinking about future plan is one such thing and one thing but the effort that is required to complete it is another thing and I think it depends on and it becomes stronger when the,I think thinking about future plan is one such thing and ahh one thing but uh the effort that is required to complete it is another thing and I think it depends on and and it becomes stronger when the,0.075,0.055
294.96,309.93,quite a cliche word that when the why of person is quite strong that the why the person wants to achieve it so I think one should keep on reminding themselves about the why that why they want to achieve those plans and,Quite a cliche word that when the wire of person is quite stronger that why the person wants to achieve it. So uh I think ahh one should keep on reminding themselves about uh the why that why they want to achieve those plans and.,0.17777777777777778,0.09170305676855896
309.96,320.46,"Moreover, I think smaller daily achievements will help everyone to move. Yes.",Moreover I think a smaller daily achievements uh will help ev-everyone to a move. Yes,0.4,0.1411764705882353
325.41,331.59,"Yes, yes. Thanks for completing. Yes. And...","Yes, yes thanks for completing yes and.",0.5714285714285714,0.1282051282051282
348.78,363.66,"Yes, same here. Same here as well. But as per the instructions, it was mentioned there we have to speak in language that we have chosen. So I am going by that only. I have texted someone. I am waiting for their response.","Yes, same here same here as well. Ahh But as per the instructions it was ahh mentioned their we have to speak in language that we have chosen. So i am going by that only i have texted someone i am waiting for uh their?",0.2,0.12385321100917432
363.72,373.35,"Yes, yes. Yes, yes.","Yes, yes yes yes.",0.5,0.11764705882352941
378.87,393.57,"I doubt if this kind of conversation will be doubted. I think it has to be stuck to the topic. Moreover, it is quite okay as we are discussing about that only. I want to mention one thing that it is quite difficult to get a conversation","Yes, I doubt if this uh this kind of conversation will be taughted. I think it has to be stick to the ahh topic moreover, It is quite uh okay as we are discussing over that only I want to mention one think that it is quite difficult to get the con",0.25,0.17813765182186234
393.57,407.97,I think it is difficult to connect to anyone so I think we have to complete one hour to get some payment and it is 8 minutes and 45 seconds or I doubt if it is happening with me only,"Call I think it is difficult to connect to anyone so I think we have to complete one hour uh to get some payment eight twenty- eight five seconds, or I doubt if it is happening with me only.",0.28205128205128205,0.1736842105263158
419.55,432.12,I am saying that as I have connected today only to this platform and I am also a new user. But we have been told we need to complete one hour.,I am single as I am I have connected today only to this platform and I am also a new user but umm we have been told we need to complete one hour.,0.18181818181818182,0.09655172413793103
445.2,459.21,7 to 20 minutes yes i agree but i am saying um the more number of shorter duration of calls we have to go for more number of calls to accept it and i think,"Seven to twenty minutes Yes, I agree. But I am saying ahh more number of sorter duration of calls we have to go for more number of calls to accepted and I think. Ahh",0.3235294117647059,0.16363636363636364
459.66,471.84,I am finding it difficult to connect to other people. I don't know. I think some issue... There is some issue on application because I think there are a lot many users that are using it at the same time. So...,"I am finding it difficult to connect to other people. I don't know. I think some issue, there is some issue on application because I think ahh they're lot many users that are using it at the same time so.",0.15,0.07352941176470588
487.2,501.48,Gracias.,"Yes, yes.",1.0,0.7777777777777778
502.8,517.2,"Yes, I already said you this only that I have also the same issue. But I think better is to stick to the task because even if it is in English, because the rule is...","Yes, uh I already said you this only that I have also the same issue but uh I think better is to stick to the task because uh even if it is in English because the rule is.",0.15789473684210525,0.07602339181286549
517.23,524.37,speak in English only so I am sticking to the instructions only that we have to speak in the language that has been selected by us on the application,To Speak in English Only so i am sticking to uh the Instructions only. That we have to speak in the language that has been uh selected by us on the application.,0.15625,0.06875
534.36,541.32,Okay. Okay. Okay. It was great talking. Yes. Have a nice day. Okay. Okay.,"Okay, okay okay it was great talking yes have a nice day. Okay.",0.46153846153846156,0.1746031746031746
